Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2016-10-15;22:30:26;41.26;71.70;15; ;mb;3.7;EASTERN UZBEKISTAN;2016-10-17 08:19;537310;
2016-10-15;20:40:00;37.48;37.63;3; ;ML;2.2;CENTRAL TURKEY;2016-10-17 08:14;537295;
2016-10-15;15:44:46;51.49;16.12;2; ;M ;3.7;POLAND;2016-10-15 15:52;537214;
2016-10-15;15:24:25;32.29;-115.34;10; ;ML;3.0;BAJA CALIFORNIA, MEXICO;2016-10-15 15:26;537207;
2016-10-15;14:56:42;37.00;-4.58;24; ;M ;2.3;SPAIN;2016-10-15 15:36;537209;
2016-10-15;14:21:49;38.88;27.73;10; ;ML;2.2;WESTERN TURKEY;2016-10-15 15:02;537203;
2016-10-15;14:15:38;35.79;30.83;13; ;ML;3.1;EASTERN MEDITERRANEAN SEA;2016-10-15 14:29;537197;
2016-10-15;13:57:50;38.99;27.74;4; ;ML;2.1;WESTERN TURKEY;2016-10-15 14:04;537196;
2016-10-15;13:37:53;36.44;12.84;10;f;ML;3.1;CENTRAL MEDITERRANEAN SEA;2016-10-15 13:53;537195;
2016-10-15;13:03:45;-32.83;-69.22;17; ;ML;2.9;MENDOZA, ARGENTINA;2016-10-15 13:27;537192;
2016-10-15;12:56:16;34.56;-119.19;0;f;ML;2.1;SOUTHERN CALIFORNIA;2016-10-15 13:00;537190;
2016-10-15;12:44:38;38.82;-122.78;1; ;MD;2.1;NORTHERN CALIFORNIA;2016-10-15 12:46;537185;
2016-10-15;12:43:40;-19.48;-69.83;66; ;ML;2.7;TARAPACA, CHILE;2016-10-15 12:54;537188;
2016-10-15;12:39:37;19.21;-155.47;38; ;MD;2.2;ISLAND OF HAWAII, HAWAII;2016-10-15 12:43;537183;
2016-10-15;12:37:30;28.04;85.17;10; ;ML;4.1;XIZANG-NEPAL BORDER REGION;2016-10-15 12:55;537189;
2016-10-15;12:33:36;37.21;28.14;10; ;ML;2.0;WESTERN TURKEY;2016-10-15 12:47;537186;
2016-10-15;12:15:48;40.46;40.26;12; ;ML;3.0;EASTERN TURKEY;2016-10-15 12:26;537182;
2016-10-15;11:59:27;61.44;-151.26;60; ;Ml;2.1;SOUTHERN ALASKA;2016-10-15 12:46;537184;
2016-10-15;11:49:53;38.84;27.83;10; ;ML;2.0;WESTERN TURKEY;2016-10-15 12:02;537177;
2016-10-15;11:48:21;39.80;20.72;2;f;ML;3.0;GREECE;2016-10-15 15:15;537174;
2016-10-15;11:15:57;58.30;-138.17;0; ;Ml;2.3;SOUTHEASTERN ALASKA;2016-10-15 12:00;537176;
2016-10-15;10:49:47;38.06;-119.13;9; ;MD;2.6;CENTRAL CALIFORNIA;2016-10-15 10:51;537168;
2016-10-15;10:38:55;38.94;27.78;10; ;ML;3.0;WESTERN TURKEY;2016-10-15 10:45;537167;
2016-10-15;10:22:50;40.47;30.93;4; ;ML;2.2;WESTERN TURKEY;2016-10-15 10:30;537166;
2016-10-15;10:05:58;37.49;-119.00;4; ;MD;2.2;CENTRAL CALIFORNIA;2016-10-15 10:07;537163;
2016-10-15;10:03:02;-31.97;-71.84;38; ;ML;2.7;OFFSHORE COQUIMBO, CHILE;2016-10-15 10:16;537164;
2016-10-15;09:28:06;-22.88;-68.83;92; ;ML;3.1;ANTOFAGASTA, CHILE;2016-10-15 09:41;537158;
2016-10-15;09:21:55;37.17;27.83;5; ;ML;2.1;WESTERN TURKEY;2016-10-15 09:44;537159;
2016-10-15;09:17:48;-34.84;-71.15;86; ;ML;2.9;MAULE, CHILE;2016-10-15 09:30;537155;
2016-10-15;09:04:04;37.19;37.66;11; ;ML;2.1;CENTRAL TURKEY;2016-10-15 10:01;537162;
2016-10-15;08:42:33;39.99;39.61;10; ;ML;2.8;EASTERN TURKEY;2016-10-15 09:50;537160;
2016-10-15;08:38:46;38.94;27.72;6; ;ML;2.5;WESTERN TURKEY;2016-10-15 09:02;537154;
2016-10-15;08:32:05;38.89;27.85;15; ;ML;2.2;WESTERN TURKEY;2016-10-15 08:46;537152;
2016-10-15;08:18:33;42.19;30.69;10; ;mb;5.2;BLACK SEA;2016-10-15 08:38;537149;
2016-10-15;08:14:50;18.66;-65.90;18; ;Md;2.5;PUERTO RICO REGION;2016-10-15 15:22;537206;
2016-10-15;08:13:57;-30.00;-71.55;40; ;ML;2.9;OFFSHORE COQUIMBO, CHILE;2016-10-15 08:27;537150;
2016-10-15;08:04:41;38.81;-122.81;0; ;MD;2.7;NORTHERN CALIFORNIA;2016-10-15 08:06;537135;
2016-10-15;08:03:39;-4.27;150.38;462; ;Mw;6.3;NEW BRITAIN REGION, P.N.G.;2016-10-15 15:16;537136;
2016-10-15;07:54:40;38.95;27.84;14; ;ML;2.2;WESTERN TURKEY;2016-10-15 08:12;537138;
2016-10-15;07:45:06;45.45;6.33;2; ;ML;2.4;FRANCE;2016-10-15 15:17;537133;
2016-10-15;07:41:17;38.91;27.72;6; ;ML;2.9;WESTERN TURKEY;2016-10-15 07:49;537131;
2016-10-15;07:40:19;17.81;-66.63;4; ;Md;2.5;PUERTO RICO REGION;2016-10-15 15:19;537205;
2016-10-15;07:17:26;38.17;26.57;11; ;ML;2.6;NEAR THE COAST OF WESTERN TURKEY;2016-10-15 07:28;537130;
2016-10-15;07:16:08;6.80;-73.17;144; ;Mw;3.9;NORTHERN COLOMBIA;2016-10-15 07:26;537129;
2016-10-15;07:05:54;18.02;-66.34;4; ;Md;2.5;PUERTO RICO;2016-10-15 08:44;537151;
2016-10-15;06:54:45;39.80;35.98;9; ;ML;2.1;CENTRAL TURKEY;2016-10-15 07:23;537128;
2016-10-15;06:32:47;-0.26;-81.10;10; ;mb;4.2;OFF COAST OF ECUADOR;2016-10-15 06:41;537124;
2016-10-15;06:31:27;-31.03;-69.42;148; ;ML;3.7;SAN JUAN, ARGENTINA;2016-10-15 09:51;537161;
2016-10-15;06:20:35;38.89;27.71;5; ;ML;2.5;WESTERN TURKEY;2016-10-15 06:28;537121;
2016-10-15;06:17:33;19.12;-155.47;43; ;Md;2.3;ISLAND OF HAWAII, HAWAII;2016-10-15 06:20;537118;
2016-10-15;06:16:29;-20.56;-67.65;234; ;ML;3.8;POTOSI, BOLIVIA;2016-10-15 06:35;537123;
2016-10-15;05:47:17;32.83;-115.47;8; ;ML;2.0;SOUTHERN CALIFORNIA;2016-10-15 05:49;537114;
2016-10-15;05:36:23;58.37;-154.76;0; ;Ml;2.6;ALASKA PENINSULA;2016-10-15 06:27;537120;
2016-10-15;05:32:55;34.56;26.52;10;f;Mw;4.5;CRETE, GREECE;2016-10-15 15:19;537112;
2016-10-15;05:26:41;19.38;-155.24;3; ;MD;2.1;ISLAND OF HAWAII, HAWAII;2016-10-15 05:30;537111;
2016-10-15;05:23:10;40.11;31.68;5; ;ML;2.4;WESTERN TURKEY;2016-10-15 05:37;537113;
2016-10-15;05:03:24;38.93;27.71;7; ;ML;3.3;WESTERN TURKEY;2016-10-15 15:20;537109;
2016-10-15;04:52:09;38.93;27.71;7; ;ML;3.4;WESTERN TURKEY;2016-10-15 15:22;537102;
2016-10-15;04:49:16;38.93;27.71;6; ;ML;2.2;WESTERN TURKEY;2016-10-15 05:01;537103;
2016-10-15;04:44:50;38.98;27.65;3; ;ML;2.0;WESTERN TURKEY;2016-10-15 05:04;537104;
2016-10-15;04:30:11;5.75;-74.30;31; ;ML;2.6;COLOMBIA;2016-10-15 04:36;537097;
2016-10-15;04:00:34;38.96;27.75;13; ;ML;2.0;WESTERN TURKEY;2016-10-15 04:09;537094;
2016-10-15;03:38:11;38.95;27.70;6; ;ML;2.5;WESTERN TURKEY;2016-10-15 03:51;537093;
2016-10-15;03:38:09;17.97;-66.87;12; ;Md;2.5;PUERTO RICO;2016-10-15 04:33;537095;
2016-10-15;03:36:15;38.92;27.70;6; ;ML;2.4;WESTERN TURKEY;2016-10-15 03:46;537092;
2016-10-15;03:24:11;38.90;27.70;4; ;ML;2.1;WESTERN TURKEY;2016-10-15 03:31;537090;
2016-10-15;03:21:27;38.95;27.72;9; ;ML;2.2;WESTERN TURKEY;2016-10-15 03:29;537089;
2016-10-15;03:17:39;5.67;-73.96;113; ;ML;2.3;COLOMBIA;2016-10-15 03:26;537088;
2016-10-15;03:17:30;17.96;-66.88;17; ;Md;2.4;PUERTO RICO;2016-10-15 04:34;537096;
2016-10-15;03:10:51;17.92;-66.87;8; ;Md;2.2;PUERTO RICO REGION;2016-10-15 08:04;537134;
2016-10-15;03:07:14;38.97;27.77;6; ;ML;2.2;WESTERN TURKEY;2016-10-15 03:15;537087;
2016-10-15;03:02:28;38.92;27.73;19; ;ML;3.6;WESTERN TURKEY;2016-10-15 15:21;537084;
2016-10-15;02:55:27;38.94;27.72;8; ;ML;2.4;WESTERN TURKEY;2016-10-15 03:13;537085;
2016-10-15;02:51:03;38.94;27.69;6; ;ML;4.2;WESTERN TURKEY;2016-10-15 15:26;537080;
2016-10-15;02:49:15;38.93;27.72;11; ;ML;4.0;WESTERN TURKEY;2016-10-15 15:24;537074;
2016-10-15;02:44:48;-24.09;-66.85;193; ;mb;4.3;SALTA, ARGENTINA;2016-10-15 15:28;537071;
2016-10-15;01:47:14;42.90;13.25;9; ;ML;2.7;CENTRAL ITALY;2016-10-15 02:04;537068;
2016-10-15;01:44:26;40.74;-121.52;6; ;MD;2.6;NORTHERN CALIFORNIA;2016-10-15 01:46;537067;
2016-10-15;01:37:45;34.82;24.02;18; ;ML;2.2;CRETE, GREECE;2016-10-15 09:30;537156;
2016-10-15;01:33:01;19.22;-155.43;1; ;ML;2.4;ISLAND OF HAWAII, HAWAII;2016-10-15 01:38;537064;
2016-10-15;01:30:54;42.89;13.26;9; ;ML;3.0;CENTRAL ITALY;2016-10-15 01:41;537065;
2016-10-15;01:11:09;63.14;-150.36;111; ;Ml;2.3;CENTRAL ALASKA;2016-10-15 02:29;537066;
2016-10-15;00:51:15;36.78;27.43;6; ;ML;2.1;DODECANESE IS.-TURKEY BORDER REG;2016-10-15 01:00;537062;
2016-10-15;00:46:07;39.83;25.54;12; ;ML;2.6;AEGEAN SEA;2016-10-15 15:29;537061;
2016-10-15;00:05:39;34.94;23.15;22; ;ML;2.1;CRETE, GREECE;2016-10-15 08:18;537063;
2016-10-14;23:37:58;45.91;-1.38;2; ;ML;2.4;FRANCE;2016-10-14 23:44;537055;
2016-10-14;23:35:37;6.78;-73.11;146; ;Mw;3.4;NORTHERN COLOMBIA;2016-10-14 23:46;537056;
2016-10-14;23:26:58;-19.21;-69.28;105; ;ML;2.6;TARAPACA, CHILE;2016-10-14 23:48;537057;
2016-10-14;23:26:56;39.19;41.67;6; ;ML;2.2;EASTERN TURKEY;2016-10-14 23:33;537054;
2016-10-14;23:25:46;58.28;-154.61;3; ;Ml;2.0;ALASKA PENINSULA;2016-10-15 00:03;537058;
2016-10-14;23:24:11;39.19;41.68;17; ;ML;2.6;EASTERN TURKEY;2016-10-14 23:30;537053;
2016-10-14;22:52:48;36.91;-97.91;5; ;mb;2.5;OKLAHOMA;2016-10-14 23:03;537039;
2016-10-14;22:03:33;36.41;-96.88;7; ;ML;2.0;OKLAHOMA;2016-10-15 15:46;537211;
2016-10-14;22:02:34;16.60;148.22;10; ;mb;4.7;MARIANA ISLANDS REGION;2016-10-15 15:30;537038;
2016-10-14;22:01:51;19.38;-155.23;3; ;ML;2.1;ISLAND OF HAWAII, HAWAII;2016-10-14 22:07;537033;
2016-10-14;21:45:12;-10.81;-78.71;10;f;mb;4.4;NEAR COAST OF CENTRAL PERU;2016-10-14 22:02;537032;
2016-10-14;21:38:08;59.79;-153.06;98; ;Ml;2.2;SOUTHERN ALASKA;2016-10-14 22:29;537036;
2016-10-14;21:30:31;-12.44;166.90;200; ;mb;4.9;SANTA CRUZ ISLANDS;2016-10-15 15:31;537027;
2016-10-14;21:28:45;52.46;157.86;130; ;mb;3.9;KAMCHATKA PENINSULA, RUSSIA;2016-10-14 22:26;537035;
2016-10-14;21:22:43;40.12;24.51;15; ;ML;2.2;AEGEAN SEA;2016-10-15 05:00;537026;
2016-10-14;21:08:00;19.41;-155.27;2; ;MD;2.0;ISLAND OF HAWAII, HAWAII;2016-10-14 21:11;537025;
2016-10-14;20:54:51;58.00;-153.68;56; ;Ml;2.5;KODIAK ISLAND REGION, ALASKA;2016-10-14 21:45;537029;
2016-10-14;20:52:05;6.12;125.43;111; ;mb;4.9;MINDANAO, PHILIPPINES;2016-10-15 15:32;537021;
2016-10-14;20:24:10;52.06;179.37;183; ;ML;2.9;RAT ISLANDS, ALEUTIAN ISLANDS;2016-10-15 15:00;537199;
2016-10-14;19:58:44;36.54;48.97;20; ;ML;4.2;NORTHWESTERN IRAN;2016-10-15 15:33;537008;
2016-10-14;19:55:04;-19.82;-69.08;124; ;ML;3.2;TARAPACA, CHILE;2016-10-14 20:09;537007;
2016-10-14;19:41:06;36.41;-96.87;6; ;ML;2.3;OKLAHOMA;2016-10-15 15:40;537210;
2016-10-14;19:31:25;38.32;-119.32;11; ;ML;2.0;CENTRAL CALIFORNIA;2016-10-14 19:55;537006;
2016-10-14;18:33:54;40.74;-121.53;7; ;MD;2.3;NORTHERN CALIFORNIA;2016-10-14 22:17;537002;
2016-10-14;18:31:19;42.87;13.07;9; ;ML;2.5;CENTRAL ITALY;2016-10-14 18:51;537004;
2016-10-14;18:29:04;9.13;125.62;40; ;mb;5.3;MINDANAO, PHILIPPINES;2016-10-15 15:33;537001;
2016-10-14;18:28:51;35.87;-7.48;28; ;ML;2.1;STRAIT OF GIBRALTAR;2016-10-14 18:32;537000;
2016-10-14;18:17:41;35.75;25.67;1; ;ML;2.2;CRETE, GREECE;2016-10-14 18:42;537003;
2016-10-14;18:10:37;50.63;-177.45;12; ;Ml;2.3;ANDREANOF ISLANDS, ALEUTIAN IS.;2016-10-14 21:45;537030;
2016-10-14;18:09:32;-21.93;-68.32;113; ;Mw;4.7;ANTOFAGASTA, CHILE;2016-10-15 15:34;536999;
2016-10-14;17:25:24;16.71;-60.69;25; ;Mw;4.4;GUADELOUPE REGION, LEEWARD ISL.;2016-10-15 14:21;536996;
2016-10-14;17:23:19;36.69;71.33;179; ;mb;4.3;HINDU KUSH REGION, AFGHANISTAN;2016-10-15 15:35;536997;
2016-10-14;17:22:45;56.41;-154.93;43; ;ML;3.0;KODIAK ISLAND REGION, ALASKA;2016-10-15 14:12;536998;
2016-10-14;16:46:15;60.01;-151.22;46; ;Ml;2.5;KENAI PENINSULA, ALASKA;2016-10-14 17:33;536995;
2016-10-14;16:38:49;-22.38;-68.94;102; ;ML;2.6;ANTOFAGASTA, CHILE;2016-10-14 16:49;536991;
2016-10-14;16:14:50;-32.13;-70.78;64; ;ML;3.8;VALPARAISO, CHILE;2016-10-14 16:38;536989;
2016-10-14;16:09:00;45.48;26.32;124; ;ML;3.1;ROMANIA;2016-10-14 16:57;536992;
2016-10-14;16:08:48;49.92;8.70;6; ;ML;2.9;GERMANY;2016-10-15 15:37;536987;
2016-10-14;16:05:27;38.97;22.43;1; ;ML;2.1;GREECE;2016-10-14 17:30;536994;
2016-10-14;16:01:54;19.36;-155.21;2; ;ML;2.3;ISLAND OF HAWAII, HAWAII;2016-10-14 16:07;536986;
2016-10-14;15:48:05;37.97;20.91;1; ;ML;2.2;IONIAN SEA;2016-10-14 17:04;536993;
2016-10-14;15:44:11;38.43;21.78;1; ;ML;3.0;GREECE;2016-10-14 16:24;536985;
2016-10-14;15:35:35;38.16;39.57;18; ;ML;2.1;EASTERN TURKEY;2016-10-14 16:37;536988;
2016-10-14;14:51:39;41.90;-119.58;7; ;ml;2.0;NEVADA;2016-10-14 15:08;536981;
2016-10-14;14:46:47;41.93;-119.59;4; ;ML;2.0;NEVADA;2016-10-14 15:11;536982;
2016-10-14;14:39:46;39.10;41.37;5; ;ML;3.1;EASTERN TURKEY;2016-10-14 14:55;536979;
2016-10-14;14:35:44;40.19;30.78;26; ;ML;2.3;WESTERN TURKEY;2016-10-14 14:43;536977;
2016-10-14;14:35:30;38.98;22.41;1; ;ML;2.3;GREECE;2016-10-14 15:08;536978;
2016-10-14;14:35:18;61.31;-146.98;16; ;Ml;2.3;SOUTHERN ALASKA;2016-10-14 15:34;536984;
2016-10-14;14:20:01;39.06;25.78;12; ;ML;2.2;AEGEAN SEA;2016-10-14 15:50;536975;
2016-10-14;14:06:38;17.91;-65.62;6; ;Md;3.0;PUERTO RICO REGION;2016-10-14 14:25;536974;
2016-10-14;13:46:33;30.94;49.98;40;f;ML;3.8;WESTERN IRAN;2016-10-14 14:54;536971;
2016-10-14;13:45:55;36.05;-115.32;6; ;ML;2.5;NEVADA;2016-10-14 13:47;536969;
2016-10-14;13:13:58;36.43;34.27;12; ;ML;2.0;CENTRAL TURKEY;2016-10-14 13:25;536964;
2016-10-14;13:11:02;-21.21;-68.97;96; ;ML;2.4;TARAPACA, CHILE;2016-10-14 13:31;536965;
2016-10-14;13:05:22;36.87;38.75;29; ;ML;2.6;TURKEY-SYRIA BORDER REGION;2016-10-14 13:17;536962;
2016-10-14;12:59:52;38.76;20.60;10; ;ML;2.7;GREECE;2016-10-14 13:16;536958;
2016-10-14;12:59:04;59.77;-151.78;69; ;Mw;4.0;KENAI PENINSULA, ALASKA;2016-10-14 13:14;536960;
2016-10-14;12:55:25;-20.90;-68.87;98; ;ML;2.5;ANTOFAGASTA, CHILE;2016-10-14 13:17;536963;
2016-10-14;12:48:34;42.87;13.06;9; ;ML;2.5;CENTRAL ITALY;2016-10-14 13:49;536970;
2016-10-14;12:47:34;59.82;-152.86;107; ;Ml;2.0;SOUTHERN ALASKA;2016-10-14 13:35;536966;
