id,leto,mesec,DOL,dolzina,regija,minuta,SIR,ura,sirina,dan,magnituda,globina,sekunda
537411,2016,10,E,34.31,CENTRAL TURKEY,40,N,23,38.13,15,2.7,4,55.1
538627,2016,10,E,38.93,WESTERN TURKEY,40,N,23,52.52,15,2.6,6,50.0
537380,2016,10,E,20.69,GREECE,06,N,23,39.76,15,4.3,15,59.1
537552,2016,10,E,38.94,WESTERN TURKEY,43,N,22,19.21,15,3.6,8,13.2
537310,2016,10,E,71.70,EASTERN UZBEKISTAN,30,N,22,41.26,15,3.7,15,26.1
537551,2016,10,E,38.94,WESTERN TURKEY,27,N,22,19.29,15,3.6,8,50.9
537553,2016,10,E,39.75,GREECE,19,N,22,59.75,15,2.5,1,42.0
537557,2016,10,E,20.70,GREECE,46,N,21,39.70,15,4.3,8,52.8
537448,2016,10,E,20.66,GREECE,42,N,21,39.63,15,3.6,20,23.9
537523,2016,10,E,20.69,GREECE,22,N,21,39.76,15,2.4,16,53.4
537563,2016,10,E,20.67,GREECE,10,N,21,39.66,15,4.3,20,27.5
537378,2016,10,E,32.27,CYPRUS REGION,00,N,21,35.18,15,2.2,12,57.9
537555,2016,10,W,66.11,PUERTO RICO,57,N,20,18.08,15,2.6,22,33.3
537317,2016,10,E,39.76,GREECE,49,N,20,47.62,15,3.6,10,23.1
537295,2016,10,E,37.63,CENTRAL TURKEY,40,N,20,37.48,15,2.2,3,00.3
537295,2016,10,E,37.63,CENTRAL TURKEY,40,N,20,37.48,15,2.2,3,00.3
537548,2016,10,W,51.90,"FOX ISLANDS, ALEUTIAN ISLANDS",34,N,20,36.69,15,4.3,26,58.0
537509,2016,10,E,20.59,GREECE,33,N,20,39.72,15,3.8,10,41.3
537318,2016,10,E,20.63,GREECE,14,N,20,39.78,15,5.4,10,48.9
537546,2016,10,W,60.68,SOUTHERN ALASKA,40,N,19,40.47,15,2.1,14,40.5
537545,2016,10,W,37.82,"SAN FRANCISCO BAY, CALIFORNIA",06,N,19,61.15,15,2.1,1,08.0
537417,2016,10,E,27.93,DODECANESE IS.-TURKEY BORDER REG,43,N,18,36.95,15,2.2,1,15.5
537412,2016,10,E,38.50,EASTERN TURKEY,30,N,18,37.00,15,2.7,5,17.8
537457,2016,10,E,27.69,WESTERN TURKEY,15,N,18,38.92,15,2.4,2,23.8
537855,2016,10,E,37.00,"HINDU KUSH REGION, AFGHANISTAN",47,S,17,12.31,15,4.3,106,08.3
537461,2016,10,E,30.05,WESTERN TURKEY,23,N,16,38.97,15,3.0,13,39.0
537472,2016,10,W,68.73,"ANTOFAGASTA, CHILE",17,S,16,22.13,15,2.6,119,29.0
537214,2016,10,E,15.97,POLAND,44,N,15,51.51,15,3.7,1,46.3
537471,2016,10,W,71.39,"COQUIMBO, CHILE",40,S,15,30.70,15,3.9,44,50.0
537207,2016,10,W,36.86,STRAIT OF GIBRALTAR,24,N,15,32.29,15,2.5,50,25.1
537203,2016,10,E,27.73,WESTERN TURKEY,21,N,14,38.88,15,2.2,10,49.1
537203,2016,10,E,27.73,WESTERN TURKEY,21,N,14,38.88,15,2.2,10,49.1
537197,2016,10,E,30.87,EASTERN MEDITERRANEAN SEA,15,N,14,35.67,15,3.1,10,37.6
537577,2016,10,W,97.71,OKLAHOMA,11,N,14,36.37,15,2.8,2,20.9
537196,2016,10,E,27.74,WESTERN TURKEY,57,N,13,38.99,15,2.1,4,50.9
537578,2016,10,W,78.14,OFF COAST OF CENTRAL PERU,44,S,13,12.50,15,4.3,25,08.0
537195,2016,10,E,12.84,CENTRAL MEDITERRANEAN SEA,37,N,13,36.44,15,3.1,10,53.6
537542,2016,10,W,64.92,VIRGIN ISLANDS REGION,19,N,13,18.93,15,2.8,52,58.6
537192,2016,10,W,69.22,"MENDOZA, ARGENTINA",03,S,13,32.83,15,2.9,17,45.0
537190,2016,10,W,38.82,NORTHERN CALIFORNIA,56,N,12,34.56,15,2.1,1,16.9
537188,2016,10,W,69.83,"TARAPACA, CHILE",43,S,12,19.48,15,2.7,66,40.0
537183,2016,10,E,28.04,XIZANG-NEPAL BORDER REGION,39,N,12,19.21,15,4.1,10,37.0
537186,2016,10,E,28.14,WESTERN TURKEY,33,N,12,37.21,15,2.0,10,36.4
537541,2016,10,W,64.08,VIRGIN ISLANDS REGION,29,N,12,18.34,15,2.6,97,35.8
537182,2016,10,E,40.26,EASTERN TURKEY,15,N,12,40.46,15,3.0,12,48.9
537184,2016,10,E,38.84,WESTERN TURKEY,59,N,11,61.44,15,2.0,10,27.0
537174,2016,10,E,20.72,GREECE,48,N,11,39.80,15,3.0,2,21.5
537176,2016,10,W,38.06,CENTRAL CALIFORNIA,15,N,11,57.85,15,2.8,9,51.0
537168,2016,10,E,85.62,NORTH OF SEVERNAYA ZEMLYA,49,N,10,38.06,15,4.5,10,47.7
537167,2016,10,E,27.78,WESTERN TURKEY,38,N,10,38.94,15,3.0,10,55.3
537166,2016,10,E,30.93,WESTERN TURKEY,22,N,10,40.47,15,2.2,4,50.1
537163,2016,10,W,31.97,"OFFSHORE COQUIMBO, CHILE",05,N,10,37.49,15,2.7,38,58.6
537158,2016,10,W,68.83,"ANTOFAGASTA, CHILE",28,S,09,22.88,15,3.1,92,06.0
537159,2016,10,E,27.83,WESTERN TURKEY,21,N,09,37.17,15,2.1,5,55.5
537155,2016,10,W,71.15,"MAULE, CHILE",17,S,09,34.84,15,2.9,86,48.0
537162,2016,10,E,37.66,CENTRAL TURKEY,04,N,09,37.19,15,2.1,11,04.1
537160,2016,10,E,39.61,EASTERN TURKEY,42,N,08,39.99,15,2.8,10,33.2
537154,2016,10,E,27.72,WESTERN TURKEY,38,N,08,38.94,15,2.5,6,46.0
537152,2016,10,E,27.85,WESTERN TURKEY,32,N,08,38.89,15,2.2,15,05.6
537149,2016,10,E,30.69,BLACK SEA,18,N,08,42.19,15,5.2,10,33.2
537206,2016,10,W,65.90,PUERTO RICO REGION,14,N,08,18.66,15,2.5,18,50.9
537150,2016,10,W,71.55,"OFFSHORE COQUIMBO, CHILE",13,S,08,30.00,15,2.9,40,57.0
537135,2016,10,E,38.95,WESTERN TURKEY,04,N,08,38.81,15,2.2,14,41.2
537133,2016,10,E,38.91,WESTERN TURKEY,45,N,07,45.45,15,2.9,6,06.8
537131,2016,10,E,27.72,WESTERN TURKEY,41,N,07,38.91,15,2.9,6,17.3
537205,2016,10,W,66.63,PUERTO RICO REGION,40,N,07,17.81,15,2.5,4,19.8
537130,2016,10,E,26.57,NEAR THE COAST OF WESTERN TURKEY,17,N,07,38.17,15,2.6,11,26.5
537129,2016,10,W,66.34,PUERTO RICO,16,N,07,73.17,15,2.5,4,08.0
537128,2016,10,E,35.98,CENTRAL TURKEY,54,N,06,39.80,15,2.1,9,45.5
537124,2016,10,W,69.42,"SAN JUAN, ARGENTINA",32,S,06,81.10,15,3.7,148,47.0
